
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 140415/0100
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  0100

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    985.00   245.00    -0.30    -1.10     0.00     9.00
    981.40   462.00    -2.70    -4.20   351.00    26.00
    926.70   920.00    -5.70    -7.00   349.00    28.00
    925.00   939.00    -5.70    -7.00   347.00    28.00
    850.00  1603.00    -7.00    -8.50   303.00    22.00
    849.90  1603.00    -7.00    -8.50   303.00    22.00
    716.90  2901.00   -12.80   -14.20   258.00    25.00
    700.00  3088.00   -11.00   -11.90   243.00    26.00
    677.40  3339.00    -8.80    -9.30   212.00    50.00
    639.30  3789.00    -8.20    -9.00   210.00    63.00
    507.80  5524.00   -21.90   -24.10   221.00    90.00
    500.00  5638.00   -22.80   -26.30   220.00    94.00
    483.00  5894.00   -24.50   -29.60   223.00    93.00
    468.00  6128.00   -23.50   -38.90   222.00   102.00
    455.10  6317.00   -23.20   -49.20   222.00   107.00
    448.80  6419.00   -24.00   -51.40   222.00   108.00
    400.00  7260.00   -30.80   -54.40   223.00   114.00
    340.90  8357.00   -39.10   -58.40   219.00   127.00
    300.00  9227.00   -44.70   -62.40   222.00   136.00
    294.70  9343.00   -45.40   -62.80   224.00   139.00
    260.50 10145.00   -50.70   -57.30   220.00   161.00
    250.00 10403.00   -52.90   -58.60   221.00   162.00
    243.80 10563.00   -54.40   -59.70   222.00   164.00
    238.70 10721.00   -54.60   -59.80   223.00   159.00
    200.00 11824.00   -52.50   -62.40   229.00   113.00
    172.70 12772.00   -50.50   -70.30   236.00    76.00
    159.30 13316.00   -50.40   -73.10   240.00    64.00
    150.00 13723.00   -51.30   -74.40   240.00    63.00
    100.00 16356.00   -56.50   -81.60   239.00    50.00
     70.00 18459.00   -57.70   -82.30   237.00    39.00
     52.40 20167.00   -58.60   -82.90   234.00    31.00
     50.00 20439.00   -57.70   -82.30   234.00    30.00
     40.00 21761.00   -53.20   -79.70   144.00    11.00
     30.00 23489.00   -52.90   -80.50    76.00     4.00
     29.50 23584.00   -52.90   -80.10   119.00     4.00
