SIGNIFICANT TEMPERATURE AND HUMIDITY LEVELS
-------------------------------------------
          Press           Temp             DP         RelHum        GPM_AGL         WSpeed          WDirn           Time         Ascent   Type
            hPa             °C             °C              %              m            kts              °              s          m/min
---------------------------------------------------------------------------------------------------------------------------------------
         987.13         +31.80          +19.1          47.00            0.0            3.9            270            0.0              0   T+H
         983.33         +28.06          +14.5          43.46           29.6            4.6            222            7.0            294   T
         968.29         +26.37          +15.8          52.39          161.8            4.1            228           33.0            277   T
         787.61         +11.28           +7.4          77.02         1932.8            5.6            223          505.0            194   T
         782.34         +11.11           +8.0          81.12         1988.8            6.7            231          522.0            202   H
         754.99         +10.52           -1.9          41.79         2285.9           11.8            274          606.0            203   T
         738.53         +12.13          -16.3          12.13         2468.5            8.6            248          667.0            171   H
         734.49         +12.33           -3.7          32.54         2514.0            7.8            234          683.0            169   T
         731.54         +11.93           +3.8          57.41         2547.2            6.8            227          695.0            167   H
         711.51         +10.00           +6.7          79.96         2778.9            7.3            238          773.0            188   H
         641.47          +4.46           +2.5          86.96         3630.6            6.2            264         1033.0            196   T+H
         560.54          +0.57           -5.5          63.78         4721.4           14.9            280         1363.0            189   H
         559.66          +0.47           -5.8          62.83         4733.9           14.8            281         1367.0            186   T
         555.12          +0.49           -7.2          56.48         4798.3           15.1            279         1388.0            185   H
         550.80          +1.11          -22.4          15.41         4860.3           15.5            276         1408.0            188   H
         543.47          +0.80          -24.6          12.97         4966.4           17.8            272         1442.0            189   H
         542.19          +0.83          -23.9          13.79         4985.3           18.0            272         1448.0            189   T
         499.59          -3.08          -18.1          30.44         5633.7           23.5            257         1644.0            208   H
         488.65          -4.39          -12.1          54.83         5807.4           26.0            259         1694.0            209   H
         487.78          -4.50          -12.6          53.18         5821.3           26.3            259         1698.0            208   T
         480.27          -4.40          -27.1          15.20         5942.8           26.9            262         1734.0            199   H
         475.65          -4.50          -26.9          15.50         6018.3           26.8            263         1757.0            197   T
         473.66          -4.91          -27.9          14.58         6051.0           26.7            263         1767.0            197   H
         433.13         -10.49          -25.7          27.61         6740.8           27.7            263         1980.0            198   H
         417.22         -13.17          -18.5          64.23         7025.0           27.0            266         2066.0            196   T
         416.50         -13.17          -18.3          65.27         7038.1           26.8            265         2070.0            196   H
         406.42         -13.27          -20.7          53.70         7223.0           26.0            254         2126.0            194   T
         384.80         -16.39          -24.6          48.95         7629.0           32.2            250         2247.0            201   H
         321.09         -27.01          -30.5          72.02         8947.8           39.1            240         2613.0            215   H
         254.42         -39.76          -45.1          56.87        10564.4           34.0            255         3076.0            215   H
         229.11         -45.60          -60.0          18.62        11261.0           41.4            248         3233.0            208   H
         214.79         -49.41          -60.1          27.90        11679.0           37.6            248         3346.0            219   T
         186.85         -55.57          -67.2          22.80        12561.8           33.8            262         3590.0            214   T
         148.40         -63.01          -76.1          16.11        13971.1           34.7            270         3983.0            218   T
         136.80         -62.78          -76.1          15.80        14458.9           25.4            257         4119.0            228   T
         120.60         -66.85          -79.8          15.49        15209.1           21.8            261         4312.0            218   T
         114.75         -63.67          -79.6          10.44        15501.3           18.4            293         4393.0            213   T
         100.00         -65.99          -81.3          10.89        16323.3           17.0            243         4603.0            243   T
          77.49         -65.69          -81.2          10.63        17814.9            7.4            255         4958.0            267   T
          67.79         -60.99          -79.3           7.73        18605.3            9.3              8         5160.0            242   T
          43.84         -56.42          -75.8           7.43        21206.6            5.1             53         5764.0            259   T
          39.82         -52.59          -73.1           7.02        21787.1            6.3             98         5897.0            260   T
          24.42         -51.11          -72.4           6.48        24689.8           17.9             82         6557.0             -1   T+H

SIGNIFICANT WIND SPEED AND DIRECTION LEVELS
-------------------------------------------
          Press           Temp             DP         RelHum        GPM_AGL         WSpeed          WDirn           Time         Ascent   Type
            hPa             °C             °C              %              m            kts              °              s          m/min
---------------------------------------------------------------------------------------------------------------------------------------
         987.13         +31.80          +19.1          47.00            0.0            3.9            270            0.0              0   S+D
         772.18         +11.28           +3.3          58.03         2097.8            9.9            244          553.0            217   D
         752.62         +10.68           -1.4          42.96         2312.5           11.5            277          614.0            195   D
         743.16         +12.00          -14.9          13.78         2416.3            9.7            264          649.0            173   D
         659.32          +6.08           +3.4          83.09         3406.2            3.7            265          964.0            197   S
         557.50          +0.51           -7.1          56.67         4764.7           15.0            281         1377.0            184   D
         505.87          -2.33          -17.3          30.70         5535.1           21.7            257         1615.0            200   D
         417.58         -13.04          -18.4          63.90         7018.5           26.7            266         2064.0            196   D
         330.77         -25.21          -29.5          67.62         8736.6           41.4            238         2555.0            224   S
         330.60         -25.25          -29.5          67.53         8740.3           40.9            238         2556.0            224   D
         281.35         -33.93          -39.6          56.57         9878.1           33.9            258         2883.0            202   D
         202.81         -51.79          -61.9          29.20        12045.0           38.0            249         3449.0            206   D
         175.74         -57.47          -71.3          16.10        12942.0           36.0            269         3698.0            208   D
         151.89         -61.95          -74.6          17.61        13832.3           38.1            268         3945.0            222   S
         120.90         -66.75          -79.7          15.39        15194.6           21.8            260         4308.0            220   D
         114.13         -63.89          -79.6          10.74        15533.2           16.5            293         4402.0            213   D
         111.10         -64.28          -79.7          11.09        15694.8           10.1            259         4447.0            225   S
         108.33         -64.51          -80.0          10.90        15847.6           12.3            224         4486.0            245   D
          93.88         -65.80          -81.3          10.59        16689.4           15.3            264         4693.0            248   D
          89.35         -66.44          -81.0          12.07        16979.0           18.3            256         4763.0            248   S
          88.92         -66.43          -81.6          11.01        17007.7           18.0            257         4770.0            247   D
          86.20         -65.83          -82.5           8.75        17188.9            9.9            286         4814.0            250   D
          84.27         -65.17          -81.2           9.87        17322.0            3.8            275         4846.0            254   S
          72.27         -62.99          -79.8           9.24        18225.1            1.9             12         5059.0            225   S
          65.42         -61.22          -78.8           8.59        18816.3            9.7             52         5211.0            258   D
          62.91         -60.27          -78.4           8.09        19049.5           15.7             82         5266.0            251   S
          61.41         -60.47          -77.7           9.23        19184.7           14.3             99         5299.0            248   D
          58.73         -58.85          -77.7           7.58        19453.5           11.2             96         5364.0            251   D
          54.97         -58.28          -76.1           8.90        19855.1           17.2            129         5455.0            275   D
          49.57         -57.49          -76.5           7.60        20470.6           11.9            110         5593.0            262   D
          48.28         -57.37          -76.1           7.97        20631.0           14.6            130         5630.0            260   S
          46.69         -56.45          -75.9           7.38        20826.4            9.7            140         5675.0            262   D
          44.69         -56.02          -75.2           7.76        21090.6            1.6            108         5737.0            260   S
          42.36         -53.94          -73.8           7.39        21417.4            9.7             95         5813.0            266   D
          41.06         -53.94          -74.0           7.25        21608.8            9.8            113         5856.0            269   D
          35.58         -53.12          -73.3           7.18        22465.3            9.7            102         6050.0            278   D
          34.28         -52.67          -72.4           7.79        22695.5           15.9             80         6100.0            277   D
          32.30         -52.24          -72.2           7.59        23045.4           10.0            110         6179.0            260   D
          30.77         -52.22          -72.2           7.58        23332.8           14.7             95         6248.0            249   D
          26.91         -51.66          -71.8           7.57        24118.6           16.8            111         6424.0            290   D
          25.74         -51.70          -71.8           7.62        24383.3           15.0             85         6481.0            270   D
          24.42         -51.11          -72.4           6.48        24689.8           17.9             82         6557.0             -1   S+D
