SIGNIFICANT TEMPERATURE AND HUMIDITY LEVELS
-------------------------------------------
          Press           Temp             DP         RelHum        GPM_AGL         WSpeed          WDirn        FltTime         Ascent   Type
            hPa             °C             °C              %              m            kts              °              s          m/min
---------------------------------------------------------------------------------------------------------------------------------------
         990.06          -1.58           -4.4          81.10            0.0          12.00          90.00            0.0              0   T+H
         953.99          -5.08           -5.5          96.98          293.0          20.75          82.20           51.0            332   T
         914.92          -4.94           -5.0          99.62          621.9          26.15         123.01          111.0            331   T
         874.11          -7.31           -7.3          99.91          979.1          22.64         136.30          176.0            334   T
         870.99          -7.32           -7.3          99.97         1007.0          22.04         136.20          181.0            336   H
         862.83          -6.28          -18.5          37.31         1080.5          21.53         135.58          194.0            338   H
         847.90          -4.70          -14.6          45.81         1217.3          21.82         141.01          217.0            373   T
         834.19          -4.60          -16.8          37.83         1345.6          22.05         149.38          239.0            331   H
         818.54          -4.39           -9.9          65.39         1494.6          22.20         158.01          266.0            323   T
         809.66          -5.30           -9.2          73.83         1580.3          22.50         161.64          282.0            314   H
         775.96          -7.36           -9.3          86.29         1912.7          19.73         188.48          347.0            328   T
         762.40          -6.80           -7.5          94.56         2050.0          22.18         200.72          372.0            336   H
         706.48          -8.80           -9.5          94.58         2642.0          30.52         218.62          487.0            328   H
         670.46          -8.99          -10.4          89.50         3047.6          43.34         226.51          563.0            302   T
         587.05         -12.87          -14.5          87.63         4069.1          52.65         251.54          744.0            334   T
         429.27         -29.23          -31.9          77.38         6381.8          54.60         255.21         1112.0            416   T
         291.36         -52.56          -58.1          51.27         9016.8          71.28         249.30         1521.0            316   T
         237.36         -62.74          -67.4          54.03        10309.2          79.97         240.77         1709.0            400   H
         234.35         -63.26          -68.4          50.09        10387.9          79.03         241.40         1720.0            449   T
         226.63         -60.45          -68.7          33.58        10594.6          80.73         241.33         1750.0            326   T
         219.21         -60.73          -73.3          18.29        10801.8          82.93         249.91         1783.0            421   T
         218.05         -59.68          -72.9          17.03        10834.7          82.76         251.20         1787.0            394   H
         214.56         -58.43          -70.9          19.19        10935.9          82.79         255.12         1805.0            370   T
         200.51         -60.24          -72.3          19.73        11360.0          92.11         250.47         1869.0            383   T
         198.29         -58.27          -70.3          20.64        11429.9          90.93         251.46         1880.0            406   T
         186.64         -59.01          -72.6          16.23        11810.2          85.86         255.53         1942.0            331   T
         185.13         -57.44          -71.5          15.58        11861.6          86.05         256.04         1952.0            316   T
         165.84         -58.75          -72.1          17.00        12553.9          82.88         259.66         2084.0            314   T
         159.70         -56.06          -70.5          15.37        12792.0          85.31         266.45         2127.0            379   T
         132.30         -55.69          -70.7          14.28        13987.3          63.80         269.22         2348.0            324   T
         121.79         -58.49          -73.5          13.34        14511.2          65.68         266.24         2439.0            324   T
         119.25         -56.92          -71.7          14.41        14644.1          64.67         267.99         2464.0            314   T
         100.04         -60.35          -75.1          13.40        15746.4          60.82         264.75         2671.0            331   T
          64.96         -64.76          -79.8          11.59        18398.1          48.08         279.60         3166.0           -136   T+H

SIGNIFICANT WIND SPEED AND DIRECTION LEVELS
-------------------------------------------
          Press           Temp             DP         RelHum        GPM_AGL         WSpeed          WDirn        FltTime         Ascent   Type
            hPa             °C             °C              %              m            kts              °              s          m/min
---------------------------------------------------------------------------------------------------------------------------------------
         990.06          -1.58           -4.4          81.10            0.0          12.00          90.00            0.0              0   S+D
         988.73          -2.48           -5.6          79.39           10.6          15.64          57.90            1.0            376   D
         982.90          -3.04           -4.7          88.57           57.6          15.93          59.39            9.0            364   D
         920.67          -4.92           -5.0          99.29          572.6          26.40         119.52          102.0            325   S
         919.41          -4.92           -5.0          99.12          583.4          26.36         120.46          104.0            326   D
         850.57          -4.96          -13.9          49.51         1192.6          21.71         139.24          213.0            371   D
         758.55          -6.80           -8.3          89.28         2089.6          23.28         203.12          379.0            340   D
         718.81          -8.77          -10.0          90.71         2508.0          23.91         215.70          461.0            307   S
         628.14         -10.80          -12.4          87.79         3550.9          55.93         230.15          652.0            323   S
         545.60         -16.53          -18.1          87.45         4623.7          44.55         261.28          838.0            347   D
         511.91         -19.95          -22.0          83.85         5099.8          38.47         258.89          917.0            372   S
         357.05         -40.44          -44.0          68.63         7667.5          63.66         250.77         1305.0            412   S
         313.15         -48.25          -53.9          52.39         8546.5          67.55         256.26         1446.0            372   D
         257.03         -59.00          -64.3          50.55         9815.4          66.92         235.82         1641.0            446   S
         252.16         -60.25          -65.5          50.51         9934.9          70.27         235.78         1657.0            469   D
         201.13         -60.15          -71.8          21.19        11340.9          92.18         250.37         1866.0            395   S
         160.50         -56.43          -70.6          15.86        12760.4          86.00         265.54         2122.0            368   S
         154.14         -56.34          -71.6          13.47        13017.0          76.38         270.99         2167.0            321   D
         135.77         -55.87          -71.3          13.34        13822.9          59.68         270.64         2317.0            316   S
          99.24         -60.38          -75.1          13.40        15796.3          60.86         264.76         2680.0            343   D
          83.72         -63.25          -76.9          14.88        16846.7          64.57         278.62         2875.0            331   S
          80.33         -63.51          -77.2          14.74        17100.1          57.26         282.99         2921.0            345   D
          64.96         -64.76          -79.8          11.59        18398.1          48.08         279.60         3166.0           -136   S+D
