
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 130113/1800
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  1800

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    985.00   248.00    -1.30    -2.00   325.00     4.00
    925.00   722.00    -5.20    -5.60   332.00    11.00
    921.20   753.00    -5.40    -5.70   335.00     9.00
    898.10   953.00    -2.80    -2.90   175.00     8.00
    886.90  1049.00     0.30     0.10   200.00    16.00
    859.70  1299.00    -0.50    -0.60   238.00    21.00
    850.00  1397.00     0.40     0.30   239.00    20.00
    844.40  1442.00     0.90     0.80   240.00    19.00
    823.20  1650.00     2.00    -1.10   232.00    30.00
    801.30  1872.00     2.50    -0.30   217.00    37.00
    788.80  1999.00     1.80    -1.40   219.00    41.00
    773.90  2152.00     0.50    -7.30   216.00    44.00
    754.00  2363.00     0.00    -9.50   216.00    41.00
    700.00  2960.00    -3.60   -10.50   218.00    36.00
    679.00  3196.00    -5.60   -11.50   221.00    36.00
    635.20  3723.00    -7.20    -9.20   231.00    60.00
    596.40  4212.00    -9.70   -14.30   236.00    73.00
    589.80  4300.00   -10.30   -15.50   235.00    75.00
    531.00  5089.00   -17.00   -19.90   237.00    84.00
    526.00  5164.00   -16.70   -20.80   236.00    88.00
    517.90  5272.00   -15.10   -33.40   232.00    90.00
    500.00  5534.00   -17.00   -39.60   227.00    87.00
    498.60  5554.00   -17.20   -39.90   227.00    87.00
    469.10  6005.00   -20.50   -36.50   230.00    99.00
    454.80  6237.00   -22.30   -33.10   230.00   113.00
    447.30  6363.00   -23.20   -27.80   230.00   111.00
    436.70  6529.00   -24.40   -28.30   229.00   110.00
    427.60  6686.00   -24.30   -26.80   225.00   121.00
    422.30  6777.00   -23.70   -30.90   223.00   126.00
    417.90  6853.00   -23.90   -33.90   223.00   126.00
    410.30  6984.00   -25.10   -38.40   225.00   131.00
    400.00  7173.00   -26.90   -39.70   226.00   131.00
    399.60  7173.00   -26.90   -39.70   226.00   131.00
    396.20  7235.00   -26.80   -36.40   226.00   130.00
    392.90  7299.00   -26.80   -43.80   226.00   131.00
    388.40  7383.00   -27.40   -41.50   225.00   132.00
    381.80  7510.00   -28.30   -31.60   225.00   136.00
    373.30  7662.00   -29.00   -40.00   226.00   134.00
    366.60  7795.00   -29.50   -52.20   226.00   136.00
    354.10  8044.00   -30.50   -56.50   227.00   137.00
    346.60  8198.00   -31.80   -61.60   227.00   135.00
    325.90  8628.00   -35.30   -51.70   225.00   136.00
    300.00  9200.00   -40.20   -47.10   220.00   131.00
    292.90  9357.00   -41.50   -47.60   219.00   134.00
    254.40 10295.00   -49.60   -54.50   210.00   152.00
    250.00 10413.00   -50.60   -55.70   210.00   139.00
    202.30 11739.00   -61.70   -67.00   223.00   141.00
    201.10 11771.00   -61.60   -66.90   224.00   141.00
    200.00 11812.00   -61.10   -66.60   225.00   139.00
    188.10 12200.00   -51.90   -61.50   225.00   125.00
    166.90 12968.00   -49.80   -70.70   229.00   107.00
    165.20 13034.00   -49.90   -71.60   226.00    93.00
    150.00 13647.00   -52.10   -77.10   217.00    92.00
    100.00 16160.00   -64.30   -85.00   213.00    82.00
     89.40 16830.00   -62.30   -84.20   221.00    63.00
     74.60 17917.00   -66.20   -85.80   212.00    55.00
     70.00 18305.00   -65.20   -85.10   215.00    61.00
     65.60 18686.00   -63.90   -84.40   225.00    53.00
     51.00 20186.00   -66.60   -85.90   199.00    50.00
