SIGNIFICANT TEMPERATURE AND HUMIDITY LEVELS
-------------------------------------------
          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time   Type
            hPa             °C              %              m            m/s              °              s
---------------------------------------------------------------------------------------------------------
         984.89         +17.60          86.00            0.0            2.0            135            0.0   T+H
         982.47         +15.23          87.26           20.2            2.7            263            5.0   T
         977.89         +14.57          86.40           61.7            2.5            267           13.0   T
         924.99         +12.76          85.12          532.1            1.9            227          112.0   T
         752.80          +0.59          98.16         2222.5            3.2            102          452.0   T
         686.63          -3.72          90.83         2955.9            4.9             22          604.0   T
         680.86          -3.73          94.57         3021.6            4.1             24          618.0   T
         679.18          -2.33          95.76         3040.8            3.7             26          622.0   T
         672.77          -3.44          97.64         3114.9            3.3             36          637.0   H
         574.36         -11.97          83.53         4351.3            8.3              7          863.0   H
         538.68         -15.75          52.25         4832.3           10.2              1          977.0   H
         536.73         -16.07          56.65         4860.5           10.0              0          983.0   T
         498.59         -18.59          77.09         5411.0           11.1             23         1092.0   H
         481.71         -20.03          67.22         5665.8           14.3             20         1136.0   T
         451.18         -23.92          45.10         6139.0           16.8              2         1244.0   H
         377.57         -34.97          66.63         7398.4           14.7              0         1573.0   H
         360.71         -37.47          52.56         7714.5           17.4            341         1637.0   T
         324.25         -40.03          49.45         8436.7           28.6            329         1780.0   H
         320.44         -40.55          43.50         8517.2           26.4            332         1794.0   T
         305.59         -38.64          20.09         8836.1           17.3            347         1861.0   H
         301.94         -37.62          20.28         8917.8           16.8            347         1882.0   T
         279.13         -37.79          21.80         9451.6           11.3              2         2029.0   T
         266.21         -39.94          19.75         9773.8           13.5            346         2107.0   T
         261.22         -39.68          23.45         9902.8           12.6            340         2139.0   T
         259.78         -38.16          24.73         9941.1           12.4            338         2148.0   T
         244.10         -40.05          21.19        10363.8           14.1            329         2257.0   T
         222.17         -39.75          18.30        10996.9            8.5            345         2423.0   T
         198.27         -45.56          19.26        11751.7            7.0            310         2602.0   T
         170.84         -46.94          15.73        12722.6           10.5            287         2844.0   T
         159.22         -50.39          19.05        13173.7           12.3            315         2954.0   T
         145.52         -52.51          19.00        13749.5           11.1            358         3096.0   T
         138.99         -51.66          19.09        14038.3            3.7              7         3164.0   T
         127.85         -56.37          18.67        14560.2            1.9            138         3286.0   T
         126.02         -55.52          15.90        14650.1            2.5            189         3306.0   T
         118.89         -57.31          17.88        15012.6            4.9            278         3390.0   T
         114.81         -55.62          20.61        15232.8            5.7            296         3443.0   T
         101.11         -60.80          18.89        16007.3            3.2             18         3623.0   T
          94.77         -59.11          19.78        16406.2            1.7            169         3720.0   T
          67.63         -63.96          19.17        18411.6            5.6            259         4185.0   T
          60.68         -59.85          18.84        19048.2            3.7            214         4320.0   T
          46.47         -62.46          18.22        20611.6            4.1            311         4657.0   T
          39.71         -59.14          18.29        21530.1            2.6            323         4852.0   T
          35.94         -60.86          17.18        22106.5            3.2            234         4978.0   T
          34.19         -57.60          21.25        22391.7            5.9            259         5044.0   T
          29.13         -59.63          16.59        23325.9            8.5            284         5235.0   T
          22.05         -53.48           7.79        24906.1            9.2            282         5597.0   T+H

SIGNIFICANT WIND SPEED AND DIRECTION LEVELS
-------------------------------------------
          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time   Type
            hPa             °C              %              m            m/s              °              s
---------------------------------------------------------------------------------------------------------
         984.89         +17.60          86.00            0.0            2.0            135            0.0   S+D
         700.89          -2.73          93.56         2792.0            7.7             19          569.0   D
         648.50          -5.30          93.89         3408.2            5.4             29          693.0   D
         603.06          -9.32          80.60         3974.5            9.2              1          796.0   D
         536.73         -16.07          56.65         4860.5           10.0              0          983.0   D
         536.39         -16.07          59.11         4865.3            9.9            360          984.0   D
         519.45         -17.59          56.89         5103.8            9.2            360         1036.0   D
         519.10         -17.59          56.48         5108.8            9.2              0         1037.0   D
         494.33         -19.07          74.89         5474.3           11.4             26         1103.0   D
         444.52         -24.64          46.79         6245.7           16.9              0         1273.0   D
         444.30         -24.68          48.53         6249.2           17.0            360         1274.0   D
         444.09         -24.70          49.06         6252.8           17.0              0         1275.0   D
         442.55         -24.87          56.30         6277.8           17.1              0         1282.0   D
         442.33         -24.93          54.65         6281.4           17.1            360         1283.0   D
         438.49         -25.48          50.45         6344.9           17.0            360         1300.0   D
         438.25         -25.48          51.05         6348.8           17.1              0         1301.0   D
         437.78         -25.51          53.92         6356.8           17.1              0         1303.0   D
         437.54         -25.61          54.24         6360.8           17.1            360         1304.0   D
         436.33         -25.75          46.68         6380.8           17.1            360         1309.0   D
         436.08         -25.76          47.07         6384.9           16.8              0         1310.0   D
         435.59         -25.86          47.27         6393.2           17.2              0         1312.0   D
         435.34         -25.95          46.71         6397.4           17.1            360         1313.0   D
         415.42         -28.93          57.40         6729.0           16.7            360         1392.0   D
         415.17         -28.95          56.48         6733.2           16.8              0         1393.0   D
         414.93         -28.96          56.67         6737.4           16.8              0         1394.0   D
         414.68         -28.98          57.06         6741.5           16.9            360         1395.0   D
         410.22         -29.75          56.51         6817.0           16.8            360         1414.0   D
         409.99         -29.78          56.78         6821.0           16.8              0         1415.0   D
         408.17         -30.07          59.53         6851.9           16.7              0         1423.0   D
         407.95         -30.09          59.87         6855.6           16.6            360         1424.0   D
         407.30         -30.17          58.96         6866.7           16.6            360         1427.0   D
         407.08         -30.24          58.63         6870.4           16.6              0         1428.0   D
         376.99         -35.10          65.48         7409.2           14.8              0         1576.0   D
         376.79         -35.14          65.42         7413.0           14.7            360         1577.0   D
         376.37         -35.13          65.21         7420.9           14.6            359         1579.0   S
         331.06         -38.93          51.42         8295.3           29.8            324         1748.0   D
         330.30         -38.92          51.08         8310.9           29.9            324         1752.0   S
         286.48         -38.33          23.26         9275.9           14.6            360         1980.0   D
         286.34         -38.31          22.98         9279.3           14.6              0         1981.0   D
         279.29         -37.79          21.48         9447.7           11.4              3         2028.0   S
         278.14         -38.05          22.21         9476.0           11.3              0         2035.0   D
         277.97         -38.11          22.26         9480.3           11.3            360         2036.0   D
         250.87         -39.31          20.44        10179.6           12.1            324         2208.0   D
         241.33         -39.45          19.57        10440.5           14.3            333         2278.0   S
         229.00         -39.98          17.59        10794.1           11.6            351         2371.0   D
         210.65         -42.67          18.34        11354.3            5.7            341         2502.0   D
         208.88         -43.24          19.29        11408.8            5.0            333         2515.0   S
         204.03         -44.13          18.44        11563.6            5.5            314         2554.0   D
         193.84         -45.43          19.44        11899.9            7.7            302         2641.0   D
         180.81         -46.78          18.31        12355.4            9.0            341         2758.0   D
         178.50         -46.32          19.30        12439.6            7.7            335         2778.0   D
         174.07         -46.71          18.45        12602.8            7.6            294         2816.0   D
         170.84         -46.94          15.73        12722.6           10.5            287         2844.0   D
         161.60         -49.67          20.26        13077.0           12.4            308         2930.0   S
         144.66         -52.45          17.52        13786.2           10.5            360         3105.0   D
         144.56         -52.46          16.72        13790.3           10.4              0         3106.0   D
         140.49         -51.72          19.39        13970.9            5.1              3         3148.0   D
         127.94         -56.33          18.40        14555.7            1.9            135         3285.0   S
         118.26         -57.28          17.62        15046.2            5.1            285         3398.0   D
         106.49         -58.81          19.80        15689.9            5.6            323         3548.0   D
         103.91         -60.14          17.64        15841.1            5.0            347         3583.0   D
          88.74         -60.68          16.69        16796.1            0.9            104         3818.0   S
          83.72         -61.01          18.22        17144.6            5.0            220         3902.0   D
          81.48         -61.41          22.37        17306.5            7.5            229         3939.0   S
          79.46         -61.70          19.30        17456.5            5.1            244         3973.0   D
          69.16         -63.18          19.90        18279.9            6.6            234         4157.0   D
          65.91         -62.75          16.96        18562.2            5.8            289         4216.0   D
          64.77         -62.28          17.42        18664.2            5.4            294         4237.0   D
          61.99         -61.03          20.60        18923.0            1.9            254         4292.0   S
          59.34         -60.45          17.62        19179.1            5.0            223         4349.0   D
          57.00         -60.02          16.33        19412.7            9.1            265         4402.0   D
          56.32         -60.00          16.69        19484.2            9.8            266         4418.0   S
          51.07         -61.78          17.13        20068.9            5.1            242         4542.0   D
          47.54         -61.97          17.37        20480.0            5.0            289         4628.0   D
          36.87         -60.44          17.81        21968.6            0.7            127         4947.0   S
          34.94         -59.16          18.82        22265.2            5.0            254         5015.0   D
          32.70         -57.80          17.01        22653.9            9.5            288         5100.0   S
          31.95         -57.87          17.76        22793.7            8.6            296         5128.0   D
          30.05         -58.53          19.55        23152.6            6.1            272         5199.0   D
          24.70         -55.41          22.02        24262.9           10.7            310         5441.0   D
          22.85         -54.56          20.21        24703.4            8.6            280         5545.0   D
          22.05         -53.48           7.79        24906.1            9.2            282         5597.0   S+D
