          Press           Temp         RelHum        GPM_AGL         WSpeed          WDirn           Time
            hPa             °C              %              m            m/s              °              s
---------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////
         925.00         +12.76          85.12          532.0            1.9            227          112.0
         850.00          +7.87          90.93         1233.4            1.4            203          255.6
         700.00          -2.77          93.61         2802.3            7.6             20          571.2
         500.00         -18.41          76.16         5389.6           10.8             22         1088.3
         400.00         -31.24          61.89         6993.8           16.4              2         1461.9
         300.00         -37.72          21.40         8961.8           16.4            346         1893.0
         250.00         -39.50          20.54        10203.2           12.0            324         2214.4
         200.00         -45.04          19.34        11694.5            6.6            310         2587.0
         150.00         -51.48          18.77        13557.5           11.0            344         3049.0
         100.00         -60.48          19.18        16075.4            2.5             33         3639.6
          70.00         -62.74          18.79        18207.9            6.7            234         4141.4
          50.00         -62.38          19.21        20191.1            6.3            258         4567.6
          30.00         -58.68          19.95        23161.8            6.3            273         5200.9
           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////
