SIGNIFICANT TEMPERATURE AND HUMIDITY LEVELS
-------------------------------------------
          Press           Temp             DP         RelHum        GPM_AGL         WSpeed          WDirn           Time         Ascent   Type
            hPa             °C             °C              %              m            kts              °              s          m/min
---------------------------------------------------------------------------------------------------------------------------------------
         990.79          +0.30           -8.4          52.00            0.0           16.0             90            0.0              0   T+H
         944.34          -3.43           -9.2          64.43          393.0           32.6            101           60.0            396   H
         943.53          -3.47           -9.3          63.95          399.6           32.8            101           61.0            396   T
         891.99          -3.18          -16.0          36.49          843.0           26.1            104          129.0            390   T
         881.87          -2.48          -13.0          44.26          932.5           23.4            105          143.0            373   H
         870.98          -0.88          -24.2          15.11         1030.1           21.7            106          159.0            372   T
         862.80          -1.20          -26.2          12.92         1104.9           21.6            108          171.0            373   H
         819.79          -3.35          -20.0          26.22         1507.9           22.3            113          240.0            347   H
         741.79          -5.14          -32.6           9.56         2292.0           13.2             95          368.0            371   T
         700.35          -2.46          -40.2           3.64         2743.7            3.9            358          443.0            385   T
         698.63          -2.57          -40.1           3.72         2763.1            4.0            352          446.0            385   H
         658.13          -6.04          -14.3          52.16         3228.9            8.8            313          522.0            341   H
         657.66          -6.09          -14.0          53.58         3234.6            8.8            312          523.0            342   T
         651.47          -5.23           -6.9          88.29         3309.3           10.9            306          536.0            345   H
         636.10          -6.01           -7.4          89.95         3497.4           14.5            296          568.0            359   T
         564.60         -11.26          -11.8          95.56         4410.6           18.7            294          715.0            369   H
         434.28         -24.48          -25.6          90.07         6357.9           33.0            287         1006.0            416   H
         408.98         -27.16          -29.9          77.62         6790.8           37.9            289         1066.0            458   T
         394.29         -29.44          -33.7          66.35         7050.9           39.9            282         1099.0            459   H
         239.75         -56.66          -60.8          59.50        10363.2           90.8            268         1563.0            444   T
         203.62         -63.98          -66.3          73.59        11357.0           92.1            279         1686.0            359   H
         202.04         -64.39          -67.0          70.60        11402.9           92.7            279         1694.0            336   T
         188.65         -62.23          -68.4          44.34        11819.2           86.8            290         1769.0            388   H
         185.67         -62.24          -68.3          44.80        11916.0           80.9            295         1784.0            393   T
         182.28         -59.42          -65.8          43.76        12027.1           75.2            300         1801.0            394   T
         173.59         -61.51          -68.6          38.87        12323.3           67.7            303         1849.0            338   T
         164.37         -57.74          -65.5          36.87        12656.8           57.1            299         1911.0            316   T
         147.72         -56.67          -66.5          28.51        13316.0           61.3            289         2038.0            313   T
         142.64         -53.34          -63.5          28.38        13534.6           64.3            295         2079.0            327   T
         133.88         -55.63          -66.8          24.06        13932.3           66.0            300         2146.0            402   T
         132.02         -54.46          -66.1          22.91        14019.5           63.2            303         2159.0            403   T
         131.03         -54.65          -66.6          22.14        14066.6           61.3            304         2166.0            398   H
         123.56         -55.25          -66.0          25.70        14425.8           54.9            308         2221.0            348   T
         102.42         -60.38          -71.6          22.38        15577.3           46.4            316         2432.0            317   T
         100.05         -58.82          -69.7          23.95        15718.5           49.8            319         2459.0            313   T
          67.52         -62.09          -73.8          20.09        18065.3           26.6            305         2899.0             48   T+H

SIGNIFICANT WIND SPEED AND DIRECTION LEVELS
-------------------------------------------
          Press           Temp             DP         RelHum        GPM_AGL         WSpeed          WDirn           Time         Ascent   Type
            hPa             °C             °C              %              m            kts              °              s          m/min
---------------------------------------------------------------------------------------------------------------------------------------
         990.79          +0.30           -8.4          52.00            0.0           16.0             90            0.0              0   S+D
         921.65          -3.03          -12.0          49.87          579.2           35.0            104           89.0            386   S
         830.70          -2.48          -21.8          21.13         1403.6           23.4            114          222.0            338   D
         725.00          -4.56          -38.2           5.26         2470.0            9.7             84          398.0            347   D
         691.24          -3.31          -37.8           4.96         2846.3            4.2            335          459.0            394   S
         654.32          -5.43           -8.8          77.05         3275.0            9.7            309          530.0            344   D
         639.01          -5.86           -7.4          89.14         3461.6           13.8            295          562.0            359   D
         491.33         -18.11          -19.7          87.14         5454.2           21.4            301          874.0            396   D
         374.07         -32.20          -34.9          76.73         7418.1           39.7            276         1152.0            389   D
         370.30         -32.72          -35.3          77.64         7488.6           40.3            276         1163.0            385   S
         323.58         -39.79          -43.2          70.11         8414.2           52.9            293         1300.0            396   D
         254.88         -53.20          -57.2          61.75         9976.2           89.2            270         1510.0            440   S
         240.03         -56.59          -60.8          59.64        10355.9           90.8            268         1562.0            445   D
         197.47         -64.35          -68.4          57.80        11540.5           93.6            281         1720.0            313   D
         197.13         -64.13          -68.3          57.18        11550.8           93.8            281         1722.0            314   S
         178.27         -60.45          -66.8          43.65        12162.1           69.9            304         1822.0            380   D
         158.45         -56.98          -65.5          34.02        12882.3           51.7            292         1954.0            314   S
         148.59         -56.58          -66.2          29.22        13279.8           60.0            289         2031.0            313   D
         136.15         -55.20          -65.8          26.28        13826.8           68.0            298         2130.0            389   S
          93.93         -59.88          -70.5          24.37        16101.1           44.7            325         2533.0            313   D
          87.87         -59.97          -71.0          23.13        16500.6           40.6            318         2608.0            336   D
          82.78         -59.81          -70.5          24.07        16861.4           34.4            332         2671.0            350   D
          77.02         -61.04          -70.7          27.40        17295.5           28.9            312         2747.0            331   D
          67.52         -62.09          -73.8          20.09        18065.3           26.6            305         2899.0             48   S+D
